,nfe,ei,seed
2087,56431,0.5422819390133691,10
2088,57235,0.5422819390133691,10
2089,58039,0.5422819390133691,10
2090,58843,0.5422819390133691,10
2091,59647,0.5420858463120991,10
2092,60451,0.5420859492314052,10
2093,61255,0.5420859492314052,10
2094,62059,0.5420859492314052,10
2095,62863,0.5420859492314052,10
2096,63667,0.5420859492314052,10
2097,64471,0.5420859492314052,10
2098,65275,0.5420859492314052,10
2099,66079,0.5420859492314052,10
2100,66883,0.5420859492314052,10
2101,67687,0.5420859492314052,10
2102,68491,0.5420859492314052,10
2103,69295,0.5420859492314052,10
2104,70099,0.5420859492314052,10
2105,70903,0.5420859492314052,10
2106,71707,0.5420859492314052,10
2107,72511,0.5420859492314052,10
2108,73315,0.5420859492314052,10
2109,74119,0.5420859492314052,10
2110,74923,0.5420859492314052,10
2111,75727,0.5420859492314052,10
2112,76531,0.5420859492314052,10
2113,77335,0.5420859492314052,10
2114,78139,0.5420859492314052,10
2115,78943,0.5420859492314052,10
2116,79747,0.5420859492314052,10
2117,80551,0.5446077328744188,10
2118,81355,0.5446077328744188,10
2119,82159,0.5446077328744188,10
2120,82963,0.5446077328744188,10
2121,83767,0.5446077328744188,10
2122,84571,0.5446077328744188,10
2123,85375,0.5446077328744188,10
2124,86179,0.5407887315667178,10
2125,86983,0.5407887315667178,10
2126,87787,0.5407887315667178,10
2127,88591,0.5407887315667178,10
2128,89395,0.5407887315667178,10
2129,90199,0.5407887315667178,10
2130,92650,0.5407887315667178,10
2131,94846,0.5407887315667178,10
2132,97042,0.5407887315667178,10
2133,99238,0.5407887315667178,10
2134,101434,0.5407887315667178,10
2135,103630,0.5407887315667178,10
2136,105826,0.5407887315667178,10
2137,108022,0.5407887315667178,10
2138,110218,0.5407887315667178,10
2139,112414,0.5407887315667178,10
2140,114610,0.5407887315667178,10
2141,116806,0.5339649900652103,10
2142,119002,0.5339649900652103,10
2143,121198,0.5339649900652103,10
2144,123394,0.5339649900652103,10
2145,125590,0.5339649900652103,10
2146,127786,0.5339649900652103,10
2147,129982,0.5339649900652103,10
2148,132178,0.5339649900652103,10
2149,134374,0.5339649900652103,10
2150,136570,0.5339649900652103,10
2151,138766,0.5339649900652103,10
2152,140962,0.5339649900652103,10
2153,143158,0.5339649900652103,10
2154,145354,0.5339649900652103,10
2155,147550,0.5351475234261645,10
2156,149746,0.5351475234261645,10
2157,151942,0.5351475234261645,10
2158,154138,0.5351475234261645,10
2159,156334,0.5351475234261645,10
2160,158530,0.5351475234261645,10
2161,160726,0.5351475234261645,10
2162,162922,0.5351475234261645,10
2163,165118,0.5351475234261645,10
2164,167314,0.5351475234261645,10
2165,169510,0.5351475234261645,10
2166,171706,0.5351475234261645,10
2167,173902,0.5351475234261645,10
2168,176098,0.5351475234261645,10
2169,178294,0.5351475234261645,10
2170,180490,0.5351475234261645,10
2171,182686,0.5351475234261645,10
2172,184882,0.5351475234261645,10
2173,187078,0.5351475234261645,10
2174,189274,0.5351475234261645,10
2175,191470,0.5351475234261645,10
2176,193666,0.5351475234261645,10
2177,195862,0.5351475234261645,10
2178,198058,0.5351475234261645,10
2179,200254,0.5351475234261645,10
2180,202450,0.5351475234261645,10
2181,204646,0.5351475234261645,10
2182,206842,0.5351475234261645,10
2183,209038,0.5351475234261645,10
2184,211234,0.5351475234261645,10
2185,213430,0.5351475234261645,10
2186,215626,0.5351475234261645,10
2187,217822,0.5351475234261645,10
2188,220018,0.5351475234261645,10
2189,222214,0.5351475234261645,10
2190,224410,0.5351475234261645,10
2191,226606,0.5351475234261645,10
2192,228802,0.5351475234261645,10
2193,230998,0.5351475234261645,10
2194,233194,0.5328183665590022,10
2195,235390,0.5328183665590022,10
2196,237586,0.5328183665590022,10
2197,239782,0.5328183665590022,10
2198,241978,0.5328183665590022,10
2199,244174,0.5328183665590022,10
2200,246370,0.5328183665590022,10
2201,248566,0.5328183665590022,10
2202,250762,0.5328183665590022,10
2203,100,1.0,100
2204,200,1.0,100
2205,300,0.6817637395812571,100
2206,400,0.6817637395812571,100
2207,500,0.6817637395812571,100
2208,600,0.6817637395812571,100
2209,700,0.6817637395812571,100
2210,800,0.6817637395812571,100
2211,900,0.6817637395812571,100
2212,1000,0.6817637395812571,100
2213,1100,0.6703073109102745,100
2214,1200,0.6703073109102745,100
2215,1300,0.6703073109102745,100
2216,1400,0.6703073109102745,100
2217,1500,0.6703073109102745,100
2218,1600,0.6703073109102745,100
2219,1700,0.6703073109102745,100
2220,1800,0.6703073109102745,100
2221,1900,0.6703073109102745,100
2222,2000,0.6703073109102745,100
2223,2100,0.6703073109102745,100
2224,2200,0.6703073109102745,100
2225,2300,0.6703073109102745,100
2226,2400,0.6703073109102745,100
2227,2500,0.6703073109102745,100
2228,2600,0.6703073109102745,100
2229,2700,0.6703073109102745,100
2230,2800,0.6480500698471824,100
2231,2900,0.6480500698471824,100
2232,3000,0.6480500698471824,100
2233,3100,0.6480500698471824,100
2234,3200,0.6480500698471824,100
2235,3300,0.6480500698471824,100
2236,3400,0.6480500698471824,100
2237,3500,0.6480500698471824,100
2238,3600,0.6480500698471824,100
2239,3700,0.6360594196392567,100
2240,3800,0.6320543661669168,100
2241,3900,0.6320543661669168,100
2242,4000,0.6320543661669168,100
2243,4100,0.6320543661669168,100
2244,4200,0.6320543661669168,100
2245,4300,0.6320543661669168,100
2246,4400,0.6320543661669168,100
2247,4500,0.6320543661669168,100
2248,4600,0.6228705481968942,100
2249,4700,0.6228705481968942,100
2250,4800,0.6228705481968942,100
2251,4900,0.6228705481968942,100
2252,5000,0.6228705481968942,100
2253,5100,0.5877731320901481,100
2254,5200,0.5877731320901481,100
2255,5300,0.5877731320901481,100
2256,5400,0.5877731320901481,100
2257,5500,0.5877731320901481,100
2258,5600,0.5877731320901481,100
2259,5700,0.5877731320901481,100
2260,5800,0.5877731320901481,100
2261,5900,0.5877731320901481,100
2262,6000,0.5877731320901481,100
2263,6100,0.5877731320901481,100
2264,6200,0.5877731320901481,100
2265,6300,0.5877731320901481,100
2266,6400,0.5877731320901481,100
2267,6500,0.5877731320901481,100
2268,6600,0.5877731320901481,100
2269,6700,0.5877731320901481,100
2270,6800,0.5877731320901481,100
2271,6900,0.5877731320901481,100
2272,7000,0.5877731320901481,100
2273,7100,0.5877731320901481,100
2274,7200,0.5877731320901481,100
2275,7300,0.5877731320901481,100
2276,7400,0.5877731320901481,100
2277,7500,0.5877731320901481,100
2278,7600,0.5877731320901481,100
2279,7700,0.5877731320901481,100
2280,7800,0.5877731320901481,100
2281,7900,0.5877731320901481,100
2282,8000,0.5877731320901481,100
2283,8100,0.5877731320901481,100
2284,8200,0.5877731320901481,100
2285,8300,0.5877731320901481,100
2286,8400,0.5448270381706202,100
2287,8500,0.5448270381706202,100
2288,8600,0.5448270381706202,100
2289,8700,0.5448270381706202,100
2290,8800,0.5448270381706202,100
2291,8900,0.5448270381706202,100
2292,9000,0.5448270381706202,100
2293,9100,0.5448270381706202,100
2294,9200,0.5448270381706202,100
2295,9300,0.5448270381706202,100
2296,9400,0.5448270381706202,100
2297,9500,0.5448270381706202,100
2298,9600,0.5448270381706202,100
2299,9700,0.5444995077039605,100
2300,9800,0.5444995077039605,100
2301,9900,0.5444995077039605,100
2302,10633,0.5444995077039605,100
2303,11477,0.5444995077039605,100
2304,12321,0.5444995077039605,100
2305,13165,0.5444995077039605,100
2306,14009,0.5444995077039605,100
2307,14853,0.5444995077039605,100
2308,15697,0.5444995077039605,100
2309,16541,0.5444995077039605,100
2310,17385,0.5444995077039605,100
2311,18229,0.5444995077039605,100
2312,19073,0.5401349931421957,100
2313,19917,0.5401349931421957,100
2314,20761,0.5401349931421957,100
2315,21605,0.5401349931421957,100
2316,22449,0.5401349931421957,100
2317,23293,0.5401349931421957,100
2318,24137,0.5401349931421957,100
2319,24981,0.5401349931421957,100
2320,25825,0.5401349931421957,100
2321,26669,0.5401349931421957,100
2322,27513,0.5401349931421957,100
2323,28357,0.5401349931421957,100
2324,29201,0.5401349931421957,100
2325,30045,0.5401349931421957,100
2326,30889,0.5401349931421957,100
2327,31733,0.5401349931421957,100
2328,32577,0.5401349931421957,100
2329,33421,0.5173176709266448,100
2330,34265,0.5173176709266448,100
2331,35109,0.5173176709266448,100
2332,35953,0.5173176709266448,100
2333,36797,0.5173176709266448,100
2334,37641,0.5173176709266448,100
2335,38485,0.5173176709266448,100
2336,39329,0.5173176709266448,100
2337,40173,0.5173176709266448,100
2338,41017,0.5173176709266448,100
2339,41861,0.5173176709266448,100
2340,42705,0.5173176709266448,100
2341,43549,0.5173176709266448,100
2342,44393,0.5173176709266448,100
2343,45237,0.5173176709266448,100
2344,46081,0.5173176709266448,100
2345,46925,0.5173176709266448,100
2346,47769,0.5173176709266448,100
2347,48613,0.5173176709266448,100
2348,49457,0.5173176709266448,100
2349,50301,0.5173176709266448,100
2350,51145,0.5173176709266448,100
2351,51989,0.5173176709266448,100
2352,52833,0.5173176709266448,100
2353,53677,0.5173176709266448,100
2354,54521,0.5173176709266448,100
2355,55365,0.5173176709266448,100
2356,56209,0.5173176709266448,100
2357,57053,0.5173176709266448,100
2358,57897,0.5173176709266448,100
2359,58741,0.5173176709266448,100
2360,59585,0.5173176709266448,100
2361,60429,0.5173176709266448,100
2362,61273,0.5173176709266448,100
2363,62117,0.5173176709266448,100
2364,62961,0.5173176709266448,100
2365,63805,0.5173176709266448,100
2366,64649,0.5173176709266448,100
2367,65493,0.5173176709266448,100
2368,66337,0.5173176709266448,100
2369,67181,0.5173176709266448,100
2370,68025,0.5173176709266448,100
2371,68869,0.5173176709266448,100
2372,69713,0.5173176709266448,100
2373,70557,0.5173176709266448,100
2374,71401,0.5173176709266448,100
2375,72245,0.5173176709266448,100
2376,73089,0.5173176709266448,100
2377,73933,0.5173176709266448,100
2378,74777,0.5173176709266448,100
2379,75621,0.5173176709266448,100
2380,76465,0.5173176709266448,100
2381,77309,0.5173176709266448,100
2382,78153,0.5173176709266448,100
2383,78997,0.5173176709266448,100
2384,79841,0.5173176709266448,100
2385,80685,0.5173176709266448,100
2386,81529,0.5173176709266448,100
2387,82373,0.5173176709266448,100
2388,83217,0.5173176709266448,100
2389,84061,0.5173176709266448,100
